Series_reference,period,value,Status,Units,Magnitude,seasonality,SNA_Account,Transaction,Transaction_Label,Asset_type,Asset_type_label,Sector,Sector_name,Subject,year,month
SNEQ.SG03AB01GI00S900,2024.12,111577,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2024,12
SNEQ.SG03AB01GI00S900,2025.03,106635,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2025,3
SNEQ.SG03AB02G000S900,2011.06,22314,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B02G,Gross operating surplus and gross mixed income,,,,,National Accounts - SNA 2008 - SNE,2011,6
SNEQ.SG03AB02G000S900,2011.09,23366,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B02G,Gross operating surplus and gross mixed income,,,,,National Accounts - SNA 2008 - SNE,2011,9
SNEQ.SG03AB02G000S900,2011.12,25244,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B02G,Gross operating surplus and gross mixed income,,,,,National Accounts - SNA 2008 - SNE,2011,12
SNEQ.SG03AB02G000S900,2012.03,22820,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B02G,Gross operating surplus and gross mixed income,,,,,National Accounts - SNA 2008 - SNE,2012,3
SNEQ.SG03AB02G000S900,2012.06,23113,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B02G,Gross operating surplus and gross mixed income,,,,,National Accounts - SNA 2008 - SNE,2012,6
SNEQ.SG03AB02G000S900,2012.09,22968,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B02G,Gross operating surplus and gross mixed income,,,,,National Accounts - SNA 2008 - SNE,2012,9
SNEQ.SG03AB02G000S900,2012.12,24753,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B02G,Gross operating surplus and gross mixed income,,,,,National Accounts - SNA 2008 - SNE,2012,12
SNEQ.SG03AB02G000S900,2013.03,23599,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B02G,Gross operating surplus and gross mixed income,,,,,National Accounts - SNA 2008 - SNE,2013,3
SNEQ.SG03AB02G000S900,2013.06,23417,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B02G,Gross operating surplus and gross mixed income,,,,,National Accounts - SNA 2008 - SNE,2013,6
SNEQ.SG03AB02G000S900,2013.09,25470,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B02G,Gross operating surplus and gross mixed income,,,,,National Accounts - SNA 2008 - SNE,2013,9
SNEQ.SG03AB02G000S900,2013.12,28750,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B02G,Gross operating surplus and gross mixed income,,,,,National Accounts - SNA 2008 - SNE,2013,12
SNEQ.SG03AB02G000S900,2014.03,26554,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B02G,Gross operating surplus and gross mixed income,,,,,National Accounts - SNA 2008 - SNE,2014,3
SNEQ.SG03AB02G000S900,2014.06,25879,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B02G,Gross operating surplus and gross mixed income,,,,,National Accounts - SNA 2008 - SNE,2014,6
SNEQ.SG03AB02G000S900,2014.09,26026,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B02G,Gross operating surplus and gross mixed income,,,,,National Accounts - SNA 2008 - SNE,2014,9
SNEQ.SG03AB02G000S900,2014.12,28276,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B02G,Gross operating surplus and gross mixed income,,,,,National Accounts - SNA 2008 - SNE,2014,12
SNEQ.SG03AB02G000S900,2015.03,26782,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B02G,Gross operating surplus and gross mixed income,,,,,National Accounts - SNA 2008 - SNE,2015,3
SNEQ.SG03AB02G000S900,2015.06,27024,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B02G,Gross operating surplus and gross mixed income,,,,,National Accounts - SNA 2008 - SNE,2015,6
SNEQ.SG03AB02G000S900,2015.09,27323,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B02G,Gross operating surplus and gross mixed income,,,,,National Accounts - SNA 2008 - SNE,2015,9
SNEQ.SG03AB02G000S900,2015.12,29680,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B02G,Gross operating surplus and gross mixed income,,,,,National Accounts - SNA 2008 - SNE,2015,12
SNEQ.SG03AB02G000S900,2016.03,27930,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B02G,Gross operating surplus and gross mixed income,,,,,National Accounts - SNA 2008 - SNE,2016,3
SNEQ.SG03AB02G000S900,2016.06,28040,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B02G,Gross operating surplus and gross mixed income,,,,,National Accounts - SNA 2008 - SNE,2016,6
SNEQ.SG03AB02G000S900,2016.09,28848,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B02G,Gross operating surplus and gross mixed income,,,,,National Accounts - SNA 2008 - SNE,2016,9
SNEQ.SG03AB02G000S900,2016.12,32434,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B02G,Gross operating surplus and gross mixed income,,,,,National Accounts - SNA 2008 - SNE,2016,12
