Series_reference,Period,Value,Unit,Series_name,Group,RBNZ_seriesID
SNEQ.SG15AD041P00AFL0471S500,2000.06,1282,NZDm,Interest payments on housing loans (including rental properties),Memo item: Household debt servicing (quarterly),HHAL.QD2.ZZH1
SNEQ.SG15AD041P00AFL0481S500,2000.06,290,NZDm,Interest payments on consumer loans,Memo item: Household debt servicing (quarterly),HHAL.QD2.ZZH2
SNEQ.SG15AD041P00ANA0000S500,2000.06,1572,NZDm,Total interest payments,Memo item: Household debt servicing (quarterly),HHAL.QD2.ZZH
SNEQ.SG15AD041P00ANA0000S500N,2000.06,10,%,Total interest payments as a percentage of household disposable income,Memo item: Household debt servicing (quarterly),HHAL.QR7.ZZH
SNEQ.SG15ALE00000AFA0000S500,2000.06,341076,NZDm,Household financial assets,Household net financial wealth,HHAL.QA
SNEQ.SG15ALE00000AFA0000S500N,2000.06,508,%,Household financial assets,As a percentage of household disposable income,HHAL.QR1
SNEQ.SG15ALE00000AFA0586S500,2000.06,136372,NZDm,Net equity in housing,Net equity in housing,HHAL.QC2
SNEQ.SG15ALE00000AFA0586S500N,2000.06,203,%,Net equity in housing,As a percentage of household disposable income,HHAL.QR5
SNEQ.SG15ALE00000AFL0000S500,2000.06,56648,NZDm,Household financial liabilities,Household net financial wealth,HHAL.QB
SNEQ.SG15ALE00000AFL0000S500N,2000.06,84,%,Household financial liabilities,As a percentage of household disposable income,HHAL.QR2
SNEQ.SG15ALE00000AFL0461S500,2000.06,45548,NZDm,Housing loans,Net equity in housing,HHAL.QB11
SNEQ.SG15ALE00000AFL7000S500,2000.06,75238,NZDm,Household financial liabilities (including rental properties),Memo item: Household debt including rental properties,HHAL.QM21
SNEQ.SG15ALE00000AFL7000S500N,2000.06,112,%,Household financial liabilities (including rental properties) as a percentage of household disposable income,Memo item: Household debt including rental properties,HHAL.QM23
SNEQ.SG15ALE00000AN60000S500,2000.06,181920,NZDm,Housing and land value,Household net wealth,HHAL.QC6
SNEQ.SG15ALE00000AN60000S500N,2000.06,271,%,Housing and land value,As a percentage of household disposable income,HHAL.QR4
SNEQ.SG15ALE00000B900000S500,2000.06,466348,NZDm,Household net wealth,Household net wealth,HHAL.QC3
SNEQ.SG15ALE00000B900000S500N,2000.06,695,%,Household net wealth,As a percentage of household disposable income,HHAL.QR6
SNEQ.SG15ALE00000B910000S500,2000.06,284428,NZDm,Household net financial wealth,Household net financial wealth,HHAL.QC5
SNEQ.SG15ALE00000B910000S500N,2000.06,424,%,Household net financial wealth,As a percentage of household disposable income,HHAL.QR3
DDEQ.SHA,2000.09,1414200,no,Number of households (at end of quarter),Housing stock,PDWEL.Q.H1.na
DDEQ.SKA,2000.09,1498300,no,Number of private dwellings (at end of quarter),Housing stock,PDWEL.Q.D1.na
SNEA.SG15AB06NR00ANA0000S500,2000.09,66694,NZDm,Household disposable income (year ended),Household disposable income,HHAL.QC4rt12
SNEA.SG15AD041P00AFL0471S500,2000.09,4925,NZDm,Interest payments on housing loans (including rental properties),Memo item: Household debt servicing (year ended),HHAL.QD2.ZZH1rt12
SNEA.SG15AD041P00AFL0481S500,2000.09,1135,NZDm,Interest payments on consumer loans,Memo item: Household debt servicing (year ended),HHAL.QD2.ZZH2rt12
SNEA.SG15AD041P00ANA0000S500,2000.09,6060,NZDm,Total interest payments,Memo item: Household debt servicing (year ended),HHAL.QD2.ZZHrt12
SNEA.SG15AD041P00ANA0000S500N,2000.09,9,%,Total interest payments as a percentage of household disposable income,Memo item: Household debt servicing (year ended),HHAL.QR7.ZZHrt12
SNEQ.SG15AB01GE00ANA0000S900,2000.09,28220,NZDm,Expenditure GDP (quarterly),Nominal Gross Domestic Product (GDP),GDE.Q.EY.NA
SNEQ.SG15AB06NR00ANA0000S500,2000.09,16414,NZDm,Household disposable income (quarterly),Household disposable income,HHAL.QC4
SNEQ.SG15AD041P00AFL0471S500,2000.09,1337,NZDm,Interest payments on housing loans (including rental properties),Memo item: Household debt servicing (quarterly),HHAL.QD2.ZZH1
SNEQ.SG15AD041P00AFL0481S500,2000.09,302,NZDm,Interest payments on consumer loans,Memo item: Household debt servicing (quarterly),HHAL.QD2.ZZH2
SNEQ.SG15AD041P00ANA0000S500,2000.09,1639,NZDm,Total interest payments,Memo item: Household debt servicing (quarterly),HHAL.QD2.ZZH
SNEQ.SG15AD041P00ANA0000S500N,2000.09,10,%,Total interest payments as a percentage of household disposable income,Memo item: Household debt servicing (quarterly),HHAL.QR7.ZZH
SNEQ.SG15ALE00000AFA0000S500,2000.09,342670,NZDm,Household financial assets,Household net financial wealth,HHAL.QA
SNEQ.SG15ALE00000AFA0000S500N,2000.09,514,%,Household financial assets,As a percentage of household disposable income,HHAL.QR1
SNEQ.SG15ALE00000AFA0586S500,2000.09,138217,NZDm,Net equity in housing,Net equity in housing,HHAL.QC2
SNEQ.SG15ALE00000AFA0586S500N,2000.09,207,%,Net equity in housing,As a percentage of household disposable income,HHAL.QR5
SNEQ.SG15ALE00000AFL0000S500,2000.09,57394,NZDm,Household financial liabilities,Household net financial wealth,HHAL.QB
SNEQ.SG15ALE00000AFL0000S500N,2000.09,86,%,Household financial liabilities,As a percentage of household disposable income,HHAL.QR2
SNEQ.SG15ALE00000AFL0461S500,2000.09,46086,NZDm,Housing loans,Net equity in housing,HHAL.QB11
SNEQ.SG15ALE00000AFL7000S500,2000.09,76208,NZDm,Household financial liabilities (including rental properties),Memo item: Household debt including rental properties,HHAL.QM21
SNEQ.SG15ALE00000AFL7000S500N,2000.09,114,%,Household financial liabilities (including rental properties) as a percentage of household disposable income,Memo item: Household debt including rental properties,HHAL.QM23
SNEQ.SG15ALE00000AN60000S500,2000.09,184303,NZDm,Housing and land value,Household net wealth,HHAL.QC6
SNEQ.SG15ALE00000AN60000S500N,2000.09,276,%,Housing and land value,As a percentage of household disposable income,HHAL.QR4
SNEQ.SG15ALE00000B900000S500,2000.09,469579,NZDm,Household net wealth,Household net wealth,HHAL.QC3
SNEQ.SG15ALE00000B900000S500N,2000.09,704,%,Household net wealth,As a percentage of household disposable income,HHAL.QR6
SNEQ.SG15ALE00000B910000S500,2000.09,285276,NZDm,Household net financial wealth,Household net financial wealth,HHAL.QC5
SNEQ.SG15ALE00000B910000S500N,2000.09,428,%,Household net financial wealth,As a percentage of household disposable income,HHAL.QR3
