"Period","Derived_Total","Measure","Value"
1998-06-30,"Total Income","Total Income",NA
1998-09-30,"Total Income","Total Income",NA
1998-12-31,"Total Income","Total Income",NA
1999-03-31,"Total Income","Total Income",NA
1999-06-30,"Total Income","Total Income",NA
1999-09-30,"Total Income","Total Income",NA
1999-12-31,"Total Income","Total Income",NA
2000-03-31,"Total Income","Total Income",NA
2000-06-30,"Total Income","Total Income",NA
2000-09-30,"Total Income","Total Income",NA
2000-12-31,"Total Income","Total Income",NA
2001-03-31,"Total Income","Total Income",NA
2001-06-30,"Total Income","Total Income",NA
2001-09-30,"Total Income","Total Income",NA
2001-12-31,"Total Income","Total Income",NA
2002-03-31,"Total Income","Total Income",NA
2002-06-30,"Total Income","Total Income",NA
2002-09-30,"Total Income","Total Income",NA
2002-12-31,"Total Income","Total Income",NA
2003-03-31,"Total Income","Total Income",NA
2003-06-30,"Total Income","Total Income",NA
2003-09-30,"Total Income","Total Income",NA
2003-12-31,"Total Income","Total Income",NA
2004-03-31,"Total Income","Total Income",NA
2004-06-30,"Total Income","Total Income",NA
2004-09-30,"Total Income","Total Income",NA
2004-12-31,"Total Income","Total Income",NA
2005-03-31,"Total Income","Total Income",NA
2005-06-30,"Total Income","Total Income",NA
2005-09-30,"Total Income","Total Income",NA
2005-12-31,"Total Income","Total Income",NA
2006-03-31,"Total Income","Total Income",NA
2006-06-30,"Total Income","Total Income",NA
2006-09-30,"Total Income","Total Income",NA
2006-12-31,"Total Income","Total Income",NA
2007-03-31,"Total Income","Total Income",NA
2007-06-30,"Total Income","Total Income",NA
2007-09-30,"Total Income","Total Income",NA
2007-12-31,"Total Income","Total Income",NA
2008-03-31,"Total Income","Total Income",NA
2008-06-30,"Total Income","Total Income",NA
2008-09-30,"Total Income","Total Income",NA
2008-12-31,"Total Income","Total Income",NA
2009-03-31,"Total Income","Total Income",NA
2009-06-30,"Total Income","Total Income",NA
2009-09-30,"Total Income","Total Income",NA
2009-12-31,"Total Income","Total Income",NA
2010-03-31,"Total Income","Total Income",NA
2010-06-30,"Total Income","Total Income",NA
2010-09-30,"Total Income","Total Income",NA
2010-12-31,"Total Income","Total Income",NA
2011-03-31,"Total Income","Total Income",NA
2011-06-30,"Total Income","Total Income",NA
2011-09-30,"Total Income","Total Income",NA
2011-12-31,"Total Income","Total Income",NA
2012-03-31,"Total Income","Total Income",NA
2012-06-30,"Total Income","Total Income",NA
2012-09-30,"Total Income","Total Income",NA
2012-12-31,"Total Income","Total Income",NA
2013-03-31,"Total Income","Total Income",NA
2013-06-30,"Total Income","Total Income",NA
2013-09-30,"Total Income","Total Income",NA
2013-12-31,"Total Income","Total Income",NA
2014-03-31,"Total Income","Total Income",NA
2014-06-30,"Total Income","Total Income",NA
2014-09-30,"Total Income","Total Income",NA
2014-12-31,"Total Income","Total Income",NA
2015-03-31,"Total Income","Total Income",NA
2015-06-30,"Total Income","Total Income",NA
2015-09-30,"Total Income","Total Income",NA
2015-12-31,"Total Income","Total Income",NA
2016-03-31,"Total Income","Total Income",NA
2016-06-30,"Total Income","Total Income",52747
2016-09-30,"Total Income","Total Income",52955
2016-12-31,"Total Income","Total Income",53582
2017-03-31,"Total Income","Total Income",54985
2017-06-30,"Total Income","Total Income",55182
2017-09-30,"Total Income","Total Income",56044
2017-12-31,"Total Income","Total Income",57425
2018-03-31,"Total Income","Total Income",58036
2018-06-30,"Total Income","Total Income",58787
2018-09-30,"Total Income","Total Income",59856
2018-12-31,"Total Income","Total Income",61176
2019-03-31,"Total Income","Total Income",61272
2019-06-30,"Total Income","Total Income",63309
2019-09-30,"Total Income","Total Income",64291
2019-12-31,"Total Income","Total Income",65317
2020-03-31,"Total Income","Total Income",65353
2020-06-30,"Total Income","Total Income",65915
2020-09-30,"Total Income","Total Income",68870
2020-12-31,"Total Income","Total Income",70107
2021-03-31,"Total Income","Total Income",71191
2021-06-30,"Total Income","Total Income",72029
2021-09-30,"Total Income","Total Income",72545
2021-12-31,"Total Income","Total Income",74574
2022-03-31,"Total Income","Total Income",75014
2022-06-30,"Total Income","Total Income",76195
2022-09-30,"Total Income","Total Income",77537
2022-12-31,"Total Income","Total Income",78617
2023-03-31,"Total Income","Total Income",79942
2023-06-30,"Total Income","Total Income",82972
2023-09-30,"Total Income","Total Income",84800
2023-12-31,"Total Income","Total Income",85961
2024-03-31,"Total Income","Total Income",87139
2024-06-30,"Total Income","Total Income",87383
2024-09-30,"Total Income","Total Income",87568
2024-12-31,"Total Income","Total Income",87903
2025-03-31,"Total Income","Total Income",88936
2025-06-30,"Total Income","Total Income",89939
1987-06-30,"Disposable Income","Disposable Income",NA
1987-09-30,"Disposable Income","Disposable Income",NA
1987-12-31,"Disposable Income","Disposable Income",NA
1988-03-31,"Disposable Income","Disposable Income",NA
1988-06-30,"Disposable Income","Disposable Income",NA
1988-09-30,"Disposable Income","Disposable Income",NA
1988-12-31,"Disposable Income","Disposable Income",NA
1989-03-31,"Disposable Income","Disposable Income",NA
1989-06-30,"Disposable Income","Disposable Income",NA
1989-09-30,"Disposable Income","Disposable Income",NA
1989-12-31,"Disposable Income","Disposable Income",NA
1990-03-31,"Disposable Income","Disposable Income",NA
1990-06-30,"Disposable Income","Disposable Income",NA
1990-09-30,"Disposable Income","Disposable Income",NA
1990-12-31,"Disposable Income","Disposable Income",NA
1991-03-31,"Disposable Income","Disposable Income",NA
1991-06-30,"Disposable Income","Disposable Income",NA
1991-09-30,"Disposable Income","Disposable Income",NA
1991-12-31,"Disposable Income","Disposable Income",NA
1992-03-31,"Disposable Income","Disposable Income",NA
1992-06-30,"Disposable Income","Disposable Income",NA
1992-09-30,"Disposable Income","Disposable Income",NA
1992-12-31,"Disposable Income","Disposable Income",NA
1993-03-31,"Disposable Income","Disposable Income",NA
1993-06-30,"Disposable Income","Disposable Income",NA
1993-09-30,"Disposable Income","Disposable Income",NA
1993-12-31,"Disposable Income","Disposable Income",NA
1994-03-31,"Disposable Income","Disposable Income",NA
1994-06-30,"Disposable Income","Disposable Income",NA
1994-09-30,"Disposable Income","Disposable Income",NA
1994-12-31,"Disposable Income","Disposable Income",NA
1995-03-31,"Disposable Income","Disposable Income",NA
1995-06-30,"Disposable Income","Disposable Income",NA
1995-09-30,"Disposable Income","Disposable Income",NA
1995-12-31,"Disposable Income","Disposable Income",NA
1996-03-31,"Disposable Income","Disposable Income",NA
1996-06-30,"Disposable Income","Disposable Income",NA
1996-09-30,"Disposable Income","Disposable Income",NA
1996-12-31,"Disposable Income","Disposable Income",NA
1997-03-31,"Disposable Income","Disposable Income",NA
1997-06-30,"Disposable Income","Disposable Income",NA
1997-09-30,"Disposable Income","Disposable Income",NA
1997-12-31,"Disposable Income","Disposable Income",NA
1998-03-31,"Disposable Income","Disposable Income",NA
1998-06-30,"Disposable Income","Disposable Income",NA
1998-09-30,"Disposable Income","Disposable Income",NA
1998-12-31,"Disposable Income","Disposable Income",NA
1999-03-31,"Disposable Income","Disposable Income",NA
1999-06-30,"Disposable Income","Disposable Income",NA
1999-09-30,"Disposable Income","Disposable Income",NA
1999-12-31,"Disposable Income","Disposable Income",NA
2000-03-31,"Disposable Income","Disposable Income",NA
2000-06-30,"Disposable Income","Disposable Income",NA
2000-09-30,"Disposable Income","Disposable Income",NA
2000-12-31,"Disposable Income","Disposable Income",NA
2001-03-31,"Disposable Income","Disposable Income",NA
2001-06-30,"Disposable Income","Disposable Income",NA
2001-09-30,"Disposable Income","Disposable Income",NA
2001-12-31,"Disposable Income","Disposable Income",NA
2002-03-31,"Disposable Income","Disposable Income",NA
2002-06-30,"Disposable Income","Disposable Income",NA
2002-09-30,"Disposable Income","Disposable Income",NA
2002-12-31,"Disposable Income","Disposable Income",NA
2003-03-31,"Disposable Income","Disposable Income",NA
2003-06-30,"Disposable Income","Disposable Income",NA
2003-09-30,"Disposable Income","Disposable Income",NA
2003-12-31,"Disposable Income","Disposable Income",NA
2004-03-31,"Disposable Income","Disposable Income",NA
2004-06-30,"Disposable Income","Disposable Income",NA
2004-09-30,"Disposable Income","Disposable Income",NA
2004-12-31,"Disposable Income","Disposable Income",NA
2005-03-31,"Disposable Income","Disposable Income",NA
2005-06-30,"Disposable Income","Disposable Income",NA
2005-09-30,"Disposable Income","Disposable Income",NA
2005-12-31,"Disposable Income","Disposable Income",NA
2006-03-31,"Disposable Income","Disposable Income",NA
2006-06-30,"Disposable Income","Disposable Income",NA
2006-09-30,"Disposable Income","Disposable Income",NA
2006-12-31,"Disposable Income","Disposable Income",NA
2007-03-31,"Disposable Income","Disposable Income",NA
2007-06-30,"Disposable Income","Disposable Income",NA
2007-09-30,"Disposable Income","Disposable Income",NA
2007-12-31,"Disposable Income","Disposable Income",NA
2008-03-31,"Disposable Income","Disposable Income",NA
2008-06-30,"Disposable Income","Disposable Income",NA
2008-09-30,"Disposable Income","Disposable Income",NA
2008-12-31,"Disposable Income","Disposable Income",NA
2009-03-31,"Disposable Income","Disposable Income",NA
2009-06-30,"Disposable Income","Disposable Income",NA
2009-09-30,"Disposable Income","Disposable Income",NA
2009-12-31,"Disposable Income","Disposable Income",NA
2010-03-31,"Disposable Income","Disposable Income",NA
2010-06-30,"Disposable Income","Disposable Income",NA
2010-09-30,"Disposable Income","Disposable Income",NA
2010-12-31,"Disposable Income","Disposable Income",NA
2011-03-31,"Disposable Income","Disposable Income",NA
2011-06-30,"Disposable Income","Disposable Income",NA
2011-09-30,"Disposable Income","Disposable Income",NA
2011-12-31,"Disposable Income","Disposable Income",NA
2012-03-31,"Disposable Income","Disposable Income",NA
2012-06-30,"Disposable Income","Disposable Income",NA
2012-09-30,"Disposable Income","Disposable Income",NA
2012-12-31,"Disposable Income","Disposable Income",NA
2013-03-31,"Disposable Income","Disposable Income",NA
2013-06-30,"Disposable Income","Disposable Income",NA
2013-09-30,"Disposable Income","Disposable Income",NA
2013-12-31,"Disposable Income","Disposable Income",NA
2014-03-31,"Disposable Income","Disposable Income",NA
2014-06-30,"Disposable Income","Disposable Income",NA
2014-09-30,"Disposable Income","Disposable Income",NA
2014-12-31,"Disposable Income","Disposable Income",NA
2015-03-31,"Disposable Income","Disposable Income",NA
2015-06-30,"Disposable Income","Disposable Income",NA
2015-09-30,"Disposable Income","Disposable Income",NA
2015-12-31,"Disposable Income","Disposable Income",NA
2016-03-31,"Disposable Income","Disposable Income",NA
2016-06-30,"Disposable Income","Disposable Income",37261
2016-09-30,"Disposable Income","Disposable Income",37236
2016-12-31,"Disposable Income","Disposable Income",37782
2017-03-31,"Disposable Income","Disposable Income",39230
2017-06-30,"Disposable Income","Disposable Income",38858
2017-09-30,"Disposable Income","Disposable Income",39632
2017-12-31,"Disposable Income","Disposable Income",40965
2018-03-31,"Disposable Income","Disposable Income",41075
2018-06-30,"Disposable Income","Disposable Income",42118
2018-09-30,"Disposable Income","Disposable Income",42592
2018-12-31,"Disposable Income","Disposable Income",43654
2019-03-31,"Disposable Income","Disposable Income",43371
2019-06-30,"Disposable Income","Disposable Income",45173
2019-09-30,"Disposable Income","Disposable Income",46124
2019-12-31,"Disposable Income","Disposable Income",46543
2020-03-31,"Disposable Income","Disposable Income",46536
2020-06-30,"Disposable Income","Disposable Income",47746
2020-09-30,"Disposable Income","Disposable Income",49431
2020-12-31,"Disposable Income","Disposable Income",50564
2021-03-31,"Disposable Income","Disposable Income",51180
2021-06-30,"Disposable Income","Disposable Income",51202
2021-09-30,"Disposable Income","Disposable Income",51746
2021-12-31,"Disposable Income","Disposable Income",52719
2022-03-31,"Disposable Income","Disposable Income",52958
2022-06-30,"Disposable Income","Disposable Income",53286
2022-09-30,"Disposable Income","Disposable Income",54321
2022-12-31,"Disposable Income","Disposable Income",54882
2023-03-31,"Disposable Income","Disposable Income",55306
2023-06-30,"Disposable Income","Disposable Income",58064
2023-09-30,"Disposable Income","Disposable Income",58354
2023-12-31,"Disposable Income","Disposable Income",58692
2024-03-31,"Disposable Income","Disposable Income",59696
2024-06-30,"Disposable Income","Disposable Income",59440
2024-09-30,"Disposable Income","Disposable Income",59677
2024-12-31,"Disposable Income","Disposable Income",60468
2025-03-31,"Disposable Income","Disposable Income",61593
2025-06-30,"Disposable Income","Disposable Income",62766
1987-06-30,"Saving","Saving",NA
1987-09-30,"Saving","Saving",NA
1987-12-31,"Saving","Saving",NA
1988-03-31,"Saving","Saving",NA
1988-06-30,"Saving","Saving",NA
1988-09-30,"Saving","Saving",NA
1988-12-31,"Saving","Saving",NA
1989-03-31,"Saving","Saving",NA
1989-06-30,"Saving","Saving",NA
1989-09-30,"Saving","Saving",NA
1989-12-31,"Saving","Saving",NA
1990-03-31,"Saving","Saving",NA
1990-06-30,"Saving","Saving",NA
1990-09-30,"Saving","Saving",NA
1990-12-31,"Saving","Saving",NA
1991-03-31,"Saving","Saving",NA
1991-06-30,"Saving","Saving",NA
1991-09-30,"Saving","Saving",NA
1991-12-31,"Saving","Saving",NA
1992-03-31,"Saving","Saving",NA
1992-06-30,"Saving","Saving",NA
1992-09-30,"Saving","Saving",NA
1992-12-31,"Saving","Saving",NA
1993-03-31,"Saving","Saving",NA
1993-06-30,"Saving","Saving",NA
1993-09-30,"Saving","Saving",NA
1993-12-31,"Saving","Saving",NA
1994-03-31,"Saving","Saving",NA
1994-06-30,"Saving","Saving",NA
1994-09-30,"Saving","Saving",NA
1994-12-31,"Saving","Saving",NA
1995-03-31,"Saving","Saving",NA
1995-06-30,"Saving","Saving",NA
1995-09-30,"Saving","Saving",NA
1995-12-31,"Saving","Saving",NA
1996-03-31,"Saving","Saving",NA
1996-06-30,"Saving","Saving",NA
1996-09-30,"Saving","Saving",NA
1996-12-31,"Saving","Saving",NA
1997-03-31,"Saving","Saving",NA
1997-06-30,"Saving","Saving",NA
1997-09-30,"Saving","Saving",NA
1997-12-31,"Saving","Saving",NA
1998-03-31,"Saving","Saving",NA
1998-06-30,"Saving","Saving",NA
1998-09-30,"Saving","Saving",NA
1998-12-31,"Saving","Saving",NA
1999-03-31,"Saving","Saving",NA
1999-06-30,"Saving","Saving",NA
1999-09-30,"Saving","Saving",NA
1999-12-31,"Saving","Saving",NA
2000-03-31,"Saving","Saving",NA
2000-06-30,"Saving","Saving",NA
2000-09-30,"Saving","Saving",NA
2000-12-31,"Saving","Saving",NA
2001-03-31,"Saving","Saving",NA
2001-06-30,"Saving","Saving",NA
2001-09-30,"Saving","Saving",NA
2001-12-31,"Saving","Saving",NA
2002-03-31,"Saving","Saving",NA
2002-06-30,"Saving","Saving",NA
2002-09-30,"Saving","Saving",NA
2002-12-31,"Saving","Saving",NA
2003-03-31,"Saving","Saving",NA
2003-06-30,"Saving","Saving",NA
2003-09-30,"Saving","Saving",NA
2003-12-31,"Saving","Saving",NA
2004-03-31,"Saving","Saving",NA
2004-06-30,"Saving","Saving",NA
2004-09-30,"Saving","Saving",NA
2004-12-31,"Saving","Saving",NA
2005-03-31,"Saving","Saving",NA
2005-06-30,"Saving","Saving",NA
2005-09-30,"Saving","Saving",NA
2005-12-31,"Saving","Saving",NA
2006-03-31,"Saving","Saving",NA
2006-06-30,"Saving","Saving",NA
2006-09-30,"Saving","Saving",NA
2006-12-31,"Saving","Saving",NA
2007-03-31,"Saving","Saving",NA
2007-06-30,"Saving","Saving",NA
2007-09-30,"Saving","Saving",NA
2007-12-31,"Saving","Saving",NA
2008-03-31,"Saving","Saving",NA
2008-06-30,"Saving","Saving",NA
2008-09-30,"Saving","Saving",NA
2008-12-31,"Saving","Saving",NA
2009-03-31,"Saving","Saving",NA
2009-06-30,"Saving","Saving",NA
2009-09-30,"Saving","Saving",NA
2009-12-31,"Saving","Saving",NA
2010-03-31,"Saving","Saving",NA
2010-06-30,"Saving","Saving",NA
2010-09-30,"Saving","Saving",NA
2010-12-31,"Saving","Saving",NA
2011-03-31,"Saving","Saving",NA
2011-06-30,"Saving","Saving",NA
2011-09-30,"Saving","Saving",NA
2011-12-31,"Saving","Saving",NA
2012-03-31,"Saving","Saving",NA
2012-06-30,"Saving","Saving",NA
2012-09-30,"Saving","Saving",NA
2012-12-31,"Saving","Saving",NA
2013-03-31,"Saving","Saving",NA
2013-06-30,"Saving","Saving",NA
2013-09-30,"Saving","Saving",NA
2013-12-31,"Saving","Saving",NA
2014-03-31,"Saving","Saving",NA
2014-06-30,"Saving","Saving",NA
2014-09-30,"Saving","Saving",NA
2014-12-31,"Saving","Saving",NA
2015-03-31,"Saving","Saving",NA
2015-06-30,"Saving","Saving",NA
2015-09-30,"Saving","Saving",NA
2015-12-31,"Saving","Saving",NA
2016-03-31,"Saving","Saving",NA
2016-06-30,"Saving","Saving",-342
2016-09-30,"Saving","Saving",-929
2016-12-31,"Saving","Saving",-989
2017-03-31,"Saving","Saving",-572
2017-06-30,"Saving","Saving",-1267
2017-09-30,"Saving","Saving",-985
2017-12-31,"Saving","Saving",-387
2018-03-31,"Saving","Saving",-683
2018-06-30,"Saving","Saving",-437
2018-09-30,"Saving","Saving",-728
2018-12-31,"Saving","Saving",-294
2019-03-31,"Saving","Saving",-656
2019-06-30,"Saving","Saving",450
2019-09-30,"Saving","Saving",790
2019-12-31,"Saving","Saving",803
2020-03-31,"Saving","Saving",995
2020-06-30,"Saving","Saving",7336
2020-09-30,"Saving","Saving",3193
2020-12-31,"Saving","Saving",3299
2021-03-31,"Saving","Saving",1310
2021-06-30,"Saving","Saving",659
2021-09-30,"Saving","Saving",4085
2021-12-31,"Saving","Saving",1859
2022-03-31,"Saving","Saving",-1139
2022-06-30,"Saving","Saving",-522
2022-09-30,"Saving","Saving",-902
2022-12-31,"Saving","Saving",-1637
2023-03-31,"Saving","Saving",-2273
2023-06-30,"Saving","Saving",-410
2023-09-30,"Saving","Saving",-128
2023-12-31,"Saving","Saving",-291
2024-03-31,"Saving","Saving",490
2024-06-30,"Saving","Saving",-42
2024-09-30,"Saving","Saving",-93
2024-12-31,"Saving","Saving",257
2025-03-31,"Saving","Saving",149
2025-06-30,"Saving","Saving",804
