"Period","Derived_Total","Measure","Value"
1987-06-30,"HCE","Food and nonalcoholic beverages",1222
1987-06-30,"HCE","Household contents and services",693
1987-06-30,"HCE","Housing and household utilities",1888
1987-06-30,"HCE","Miscellaneous goods and services",738
1987-06-30,"HCE","Recreation and culture",845
1987-06-30,"HCE","Restaurants and hotels",608
1987-06-30,"HCE","Transport",1506
1987-09-30,"HCE","Alcoholic beverages, tobacco and illicit drugs",508
1987-09-30,"HCE","Clothing and footwear",522
1987-09-30,"HCE","Communication",176
1987-09-30,"HCE","Food and nonalcoholic beverages",1250
1987-09-30,"HCE","Household contents and services",685
1987-09-30,"HCE","Housing and household utilities",1951
1987-09-30,"HCE","Miscellaneous goods and services",776
1987-09-30,"HCE","Recreation and culture",847
1987-09-30,"HCE","Restaurants and hotels",604
1987-09-30,"HCE","Transport",1558
1987-12-31,"HCE","Alcoholic beverages, tobacco and illicit drugs",521
1987-12-31,"HCE","Clothing and footwear",537
1987-12-31,"HCE","Communication",186
1987-12-31,"HCE","Food and nonalcoholic beverages",1279
1987-12-31,"HCE","Household contents and services",687
1987-12-31,"HCE","Housing and household utilities",2040
1987-12-31,"HCE","Miscellaneous goods and services",821
1987-12-31,"HCE","Recreation and culture",877
1987-12-31,"HCE","Restaurants and hotels",628
1987-12-31,"HCE","Transport",1518
1988-03-31,"HCE","Alcoholic beverages, tobacco and illicit drugs",523
1988-03-31,"HCE","Clothing and footwear",524
1988-03-31,"HCE","Communication",193
1988-03-31,"HCE","Food and nonalcoholic beverages",1291
1988-03-31,"HCE","Household contents and services",678
1988-03-31,"HCE","Housing and household utilities",2148
1988-03-31,"HCE","Miscellaneous goods and services",850
1988-03-31,"HCE","Recreation and culture",889
1988-03-31,"HCE","Restaurants and hotels",616
1988-03-31,"HCE","Transport",1482
1988-06-30,"HCE","Alcoholic beverages, tobacco and illicit drugs",528
1988-06-30,"HCE","Clothing and footwear",512
1988-06-30,"HCE","Communication",199
1988-06-30,"HCE","Food and nonalcoholic beverages",1292
1988-06-30,"HCE","Household contents and services",667
1988-06-30,"HCE","Housing and household utilities",2259
